Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S005593    ,Horta-Guinardó,Horta,2.162875,41.4286,June,26-31,09-12h,Tuesday,Weekday,2,0,2,2,FALSE,FALSE
2017S003648    ,Horta-Guinardó,Horta,2.164813,41.43032,April,21-25,12-15h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S001357    ,Horta-Guinardó,Horta,2.158244,41.42666,February,16-20,03-06h,Saturday,Weekend,0,0,0,1,FALSE,FALSE
2017S005779    ,Horta-Guinardó,Horta,2.161982,41.429651,July,1-5,18-21h,Monday,Weekday,1,0,1,1,FALSE,FALSE
2017S004111    ,Horta-Guinardó,Horta,2.161818,41.42942,May,6-10,12-15h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S000638    ,Horta-Guinardó,el Carmel,2.153781,41.423028,January,21-25,12-15h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S004263    ,Horta-Guinardó,el Carmel,2.156094,41.424912,May,11-15,12-15h,Saturday,Weekend,0,0,0,1,FALSE,FALSE
2017S010402    ,Horta-Guinardó,el Carmel,2.155189,41.423807,December,16-20,12-15h,Saturday,Weekend,1,0,1,1,FALSE,FALSE
2017S001644    ,Horta-Guinardó,el Carmel,2.150184,41.421154,February,26-31,06-09h,Tuesday,Weekday,1,0,1,1,FALSE,FALSE
2017S002190    ,Horta-Guinardó,el Carmel,2.156756,41.425724,March,16-20,18-21h,Thursday,Weekday,0,0,0,1,FALSE,FALSE
2017S002606    ,Horta-Guinardó,el Carmel,2.154692,41.428075,March,26-31,06-09h,Friday,Weekday,1,0,1,1,FALSE,FALSE
2017S009681    ,Horta-Guinardó,el Carmel,2.154632,41.426274,November,21-25,21-00h,Tuesday,Weekday,1,0,1,1,FALSE,FALSE
